"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Saudi Arabia","SAU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4234000","5009000","2336000","4817000","4705000","6467000","18625000","15865399.4140625","20084259.765625","22535457.03125","22322601.5625","25054000","27618000","28748000","27425000","27196000","",
"Sudan","SDN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195000","","","","","","","","","","","","","","","","","","","","","","","","","",
"Senegal","SEN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Singapore","SGP","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2867000","3305000","3671000","3745000","3971000","4444000","4363000","4399000","4221000","5165000","5159000","5533000","6024000","6828000","6961000","7342000","7753000","8048000","8647000","8903000","9125000","9474000","9889000","10378000","10711000","",
"Solomon Islands","SLB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sierra Leone","SLE","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000","7000","13000","13000","20000","27000","13000","28000","63000","67000","71000","73000","72000","76000","99000","104000","111000","93000","61000","92000","110000","112000","122000","",
"El Salvador","SLV","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","348000","492000","627000","868000","787000","923000","933000","1001000","940000","1079000","1239000","1242000","1012000","","1345000","1421000","1469000","1462000","1515000","1515000","1618000","1804000","1871000","1788000","1899000","",
"San Marino","SMR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Sudan","SSD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa","SSF","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Small states","SST","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sao Tome and Principe","STP","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8600.00038146973","10300.0001907349","","","","","","","","","","","","",
"Suriname","SUR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Slovak Republic","SVK","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2987000","3149000","3603000","3683000","3230000","2692000","3285000","2689000","2129000","2406000","2777000","3095000","3870000","4662000","5214000","",
"Slovenia","SVN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6736000","6814000","5569000","5490000","5575000","5340000","5073000","4465000","4440000","4672000","4909000","5408000","5410000","5409000","6049000","",
"Sweden","SWE","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22121000","19939000","19061000","",
"Eswatini","SWZ","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1082000","1072000","1130000","1177000","1245000","1141000","1264000","1403000","1573000","1657000","1713000","1789000","1751000","1717000","1721000","",
"Sint Maarten (Dutch part)","SXM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31000","29000","30000","31000","32000","36000","41000","53000","50000","48000","52000","55000","58000","54000","49000","59000","48000","45000","47000","50000","56000","68000","74000","72000","76000","",
"Syrian Arab Republic","SYR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1746000","1871000","2299000","2411000","2994000","3863000","3492000","3299000","3997000","4309000","4564000","4042000","4196000","5253000","5215000","6259000","","","","","","","","","","",
"Turks and Caicos Islands","TCA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58000","66000","39000","76000","79000","","","","56000","52000","","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18741021.5748503","21204832.3326266","22985774.5019996","24425277.1208559","25360548.0039106","29172516.0927302","34054912.0915698","33625084.624386","37325547.9016127","42606235.5380767","46259022.4619257","52483256.9381776","61256073.1450348","67107954.3511484","68801001.0215601","83096254.5053405","98955094.1772015","115589075.063379","135039428.488126","157724133.75137","172853201.374479","183823934.603675","194998127.266666","205242442.920956","213644991.407936","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101067183.515471","99689001.1009114","105471324.295464","107185287.799339","117130387.319699","128434326.924348","121921728.701502","117934533.210464","113211829.025822","120675804.165765","133889759.04699","144343359.662374","156475701.028651","163878285.29363","150095269.335063","158492182.109715","176312854.843695","190633844.446115","210106843.484549","180851145.399938","182749587.884478","184405703.145183","207303500.12022","222118408.773907","233463769.147403","",
"Togo","TGO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191000","216000","236000","269000","",
"Thailand","THA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1820000","1845000","1660000","1412000","1655000","1909000","2011000","2250000","2152000","2709000","3047000","3382000","4018000","3908000","4653000","5451000","5397000","5721000","5970000","6444000","6794000","8204000","8963000","9966000","10446000","",
"Tajikistan","TJK","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4099.99990463257","6400.00009536743","2700.00004768372","","","","","","","","","","","15000","15000","19000","16000","22000","31000","31000","","",
"Turkmenistan","TKM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21000","29000","31000","357000","","78000","111000","79000","34000","32000","33000","33000","38000","","","","","","","","","","","","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121774674.953998","123668650.552404","128570256.614471","130425128.091383","139626745.418027","151714820.497512","147522592.889412","148501433.344969","147903010.839289","155497199.540702","157080809.720196","151473222.66518","140553224.782328","140219675.588809","129775809.803049","126489507.473286","128280132.534358","130957327.843935","139439398.423296","141664052.074704","150759110.900131","159221639.907889","161048262.600862","148783175.890497","142361074.65507","",
"Timor-Leste","TLS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tonga","TON","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Asia (IDA & IBRD)","TSA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5104212.17752535","5666330.19265309","5968835.46987043","6185555.66847389","6639313.5842999","7071625.23047243","7207075.3545996","7801927.14972473","8610112.89035016","9938652.85783077","11433119.2273672","12873405.5472527","15286675.258785","15117362.6036261","16943521.7787287","19125115.5531028","20658496.8691903","22014160.8856421","23161348.8390597","25431129.9501325","28138552.8270597","30194692.2477008","32864565.9790369","35959133.4949891","36715295.5993054","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Trinidad and Tobago","TTO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","261000","248000","","","","","","","","","","","","","270000","273000","","","","","","","","","","",
"Tunisia","TUN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1778000","1428000","1381000","1526000","1480000","1632000","1669000","1939000","2274000","2312000","2241000","2302000","2743000","3118000","2623000","2250000","2303000","2897000","2873000","2637000","","1830000","","2515000","2781000","",
"Turkey","TUR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3981000","4261000","4633000","4601000","4758000","5284000","4856000","5131000","5928000","7299000","8246000","8275000","4956000","4893000","5561000","6557000","6282000","5803000","7526000","7982000","8751000","7892000","8887000","8383000","9651000","",
"Tuvalu","TUV","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1899.99997615814","2200.00004768372","2900.00009536743","2799.99995231628","2700.00004768372","2599.99990463257","2299.99995231628","2200.00004768372","2000","2400.00009536743","","","","2099.99990463257","","","","","","","","","",
"Tanzania","TZA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157000","148000","","","","","","","","","","","","","","","","","","","","","","","","",
"Uganda","UGA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148000","241000","327000","153000","152000","184000","189000","231000","189000","254000","272000","337000","311000","324000","367000","469000","471000","511000","523000","568000","","","","",
"Ukraine","UKR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17866000","16100000","15961000","17741000","20335000","21755000","23988000","22637000","23336000","25226000","27067000","27977000","29346000","",
"Upper middle income","UMC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173210386.965007","168743594.479137","176431583.897064","180373896.669046","191809163.564028","215201721.776393","217956151.444379","221511650.655449","229245484.309504","250285353.077583","260733570.72756","263572352.255301","266289779.661374","276805888.807266","266443089.951227","281411449.649358","302869997.319396","325883267.395669","361567810.266012","375657079.487396","388576613.040292","408005722.793387","436917970.488019","437313280.233065","446422965.294915","",
"Uruguay","URY","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","562000","654000","778000","667000","531000","530000","495000","569000","658000","666000","635000","734000","826000","1027000","1534000","1816000","2281000","2396000","2217000","1715000","1789000","1947000","2199000","",
"United States","USA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74031000","76803000","78481000","82758000","84540000","87973000","84755000","80883000","75880000","79655000","79215000","148511000","140364000","136148000","129954000","121574000","114089000","116329000","118968000","121699000","130364000","141526000","148056000","157873000","","",
"Uzbekistan","UZB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","246000","247000","202000","217000","183000","264000","400000","455000","572000","893000","1248000","1150000","1317000","1610000","","","3117000","2786000","3491000","3848000","5182000","8594000","8437000","",
"St. Vincent and the Grenadines","VCT","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","534000","511000","460000","752000","754000","954000","933000","881000","832000","816000","1067000","1095000","1410000","1745000","1651000","1477000","1719000","1734000","1931000","1589000","1539000","1530000","1079000","","","",
"British Virgin Islands","VGB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171000","166000","166000","140000","151000","145000","139000","","","","","","","","",
"Virgin Islands (U.S.)","VIR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vanuatu","VUT","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11000","11000","11000","12000","12000","12000","11000","11000","12000","13000","14000","15000","16000","19000","20000","21000","22000","23000","26000","26000","27000","25000","28000","29000","35000","",
"World","WLD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","894106626.866278","944271165.680466","1003063009.57765","1079441641.17541","1078486595.16298","1084676132.09522","1087206032.57511","1155197202.52613","1206768079.94985","1330197940.95186","1371063787.55131","1397712946.67146","1344113961.32184","1416354950.17454","1468886800.71456","1527838950.1148","1603962475.4145","1614143160.94873","1685021761.3533","1767079820.94967","1878262774.62431","1930872510.2046","1979127249.37418","",
"Samoa","WSM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58000","61000","56000","53000","51000","54000","52000","51000","52000","53000","43000","56000","57000","56000","51000","57000","54000","","55000","64000","69000","",
"Kosovo","XKX","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Africa","ZAF","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Zambia","ZMB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Zimbabwe","ZWE","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","256000","69000","123000","213000","331000","","","","386000","498000","474000","541000","547000","593000","631000","650000","693000","720000","2946000","3182000","3393000","3192000","2768000","2288000","3275000","",
